/* Input data */
data;

param V_count := 18;   /*- liczba node'ow */
param E_count := 48;   /*- liczba krawędzi */
param D_count := 4;    /*- liczba zapotrzebowac - ilosc gosci ktorych chcemy wyslac */

param : h  s t b := /*- definicja zapotrzebowan */
 1      2 1 4 1   /*- h:ilosc gosciu ktorych wysylamy */
 2      1 1 2 1  /*- s:source */
 3      2 1 5 0
 4      5 2 10 3


;                 /*- t:destination */
/*e,d,p*/
param : delta :=
 1,1,1    1 
 2,1,1    1
 3,1,1    1
 4,1,1    1
 1,1,2    1
 2,1,2    1
 5,1,2    1
 
;  

param : B :=
 1,6    1 
 2,4    1 
 3,5    1 
 4,4    1
 5,11   1
 6,14   1
 7,7    1
 8,12   1
 9,1    1
 10,5    1
 11,2    1
 12,4    1
 13,8    1
 14,10    1
 15,15    1
 16,17    1
 17,11    1
 18,1    1
 19,9    1
 20,18    1
 21,3    1
 22,8    1
 23,5    1
 24,13    1
 25,14   1
 26,6    1
 27,12    1
 28,5    1
 29,15    1
 30,2    1
 31,5    1
 32,13    1
 33,16    1
 34,3    1
 35,9    1
 36,8    1
 37,11    1
 38,2    1
 39,8    1
 40,17    1
 41,5    1
 42,10    1
 43,18    1
 44,11    1
 45,5    1
 46,14    1
 47,6    1
 48,15    1
;

param : K := 
 1      10 
 2	15
 3      10
 4      12
 5      18
 6      25
 7      8
 8      20
 9      15
 10      12
 11      10
 12      10
 13      12
 14      22
 15      25
 16      25
 17      20
 18      12
 19      10
 20      22
 21      12
 22      10
 23      12
 24      20
 25      18
 26      10
 27      15
 28      20
 29      10
 30      22
 31      20
 32      12
 33      15
 34      18
 35      15
 36      20
 37      12
 38      25
 39      22
 40      10
 41      25
 42      12
 43      10
 44      18
 45      25
 46      10
 47      22
 48      12
;

param : KP := 
 1      30
 2	150
 3      10
 4      30
 5      18
 6      40
 7      8
 8      20
 9      40
 10      12
 11      10
 12      10
 13      12
 14      22
 15      25
 16      25
 17      20
 18      12
 19      10
 20      22
 21      12
 22      10
 23      12
 24      20
 25      18
 26      10
 27      15
 28      20
 29      10
 30      22
 31      20
 32      12
 33      15
 34      18
 35      15
 36      20
 37      12
 38      25
 39      22
 40      10
 41      25
 42      12
 43      10
 44      18
 45      25
 46      10
 47      22
 48      12
;

param : c := /*Capacity*/
 1      10
 2	5
 3      10
 4      10
 5      10
 6      10
 7      5
 8      10
 9      5
 10      10
 11      4
 12      5
 13      5
 14      3
 15      20
 16      7
 17      4
 18      3
 19      3
 20      4
 21      10
 22      5
 23      4
 24      4
 25      10
 26      4
 27      3
 28      10
 29      8
 30      3
 31      8
 32      5
 33      3
 34      10
 35      7
 36      6
 37      10
 38      10
 39      3
 40      5
 41      4
 42      2
 43      5
 44      8
 45      4
 46      4
 47      3
 48      5
;
end;
